Speed,Distance,Throttle,Brake,DRS,RPM
225,2408.59722222222,100,False,8,11685
229,2418.4569444444423,100,False,8,11854
231,2427.7611111111087,100,False,8,11784
234,2428.7361111111086,100,False,8,11714
241,2447.480555555553,100,False,8,10941
243,2455.918055555553,100,False,8,11026
246,2466.50972222222,100,False,8,11112
249,2469.691388888886,100,False,8,11197
252,2483.271388888887,100,False,8,11282
254,2494.560277777776,0,False,8,11054
241,2497.6397222222204,0,False,8,10792
229,2515.069166666665,0,True,8,10531
223,2517.9186111111094,0,True,8,10412
218,2525.1852777777763,0,True,8,10293
213,2529.5636111111094,0,True,8,10174
208,2537.999166666665,0,True,8,10064
204,2541.059166666665,1,True,8,9954
198,2554.589166666665,18,True,8,9813
192,2564.935833333332,36,False,8,9672
191,2569.4986111111093,49,False,8,9761
190,2578.9986111111093,62,False,8,9851
189,2579.733611111109,75,False,8,9941
191,2594.8544444444424,87,False,8,10135
193,2596.7308333333312,100,False,8,10329
199,2605.575277777776,100,False,8,10653
203,2612.623888888887,100,False,8,10769
207,2621.478888888887,100,False,8,10885
209,2621.8272222222204,100,False,8,11006
211,2630.853333333331,100,False,8,11127
218,2640.5422222222205,78,False,8,11310
219,2645.773888888887,78,False,8,11389
220,2656.773888888887,79,False,8,11469
222,2657.6372222222203,80,False,8,11549
223,2674.9816666666648,100,False,8,11496
225,2681.6066666666648,100,False,8,11490
227,2690.056111111109,100,False,8,11484
229,2700.6155555555533,100,False,8,11016
231,2702.79722222222,100,False,8,10549
234,2713.58722222222,100,False,8,10689
238,2721.1238888888865,100,False,8,10830
239,2725.505555555553,100,False,8,10901
240,2731.77222222222,100,False,8,10972
244,2748.1066666666643,100,False,8,11172
245,2752.530277777775,100,False,8,11192
246,2769.955277777776,100,False,8,11212
247,2781.2761111111085,100,False,8,11257
248,2791.9538888888865,100,False,8,11302
249,2792.29972222222,100,False,8,11334
251,2805.8955555555526,100,False,8,11366
253,2814.680277777775,100,False,8,11424
255,2822.8261111111083,100,False,8,11483
255,2833.0969444444418,100,False,8,11509
256,2834.1636111111084,100,False,8,11535
257,2848.7983333333304,50,False,8,11205
259,2857.0719444444417,0,False,8,10875
246,2861.5136111111083,0,False,8,10512
234,2872.8886111111083,0,True,8,10149
225,2879.5136111111083,0,True,8,10149
217,2885.1797222222194,0,True,8,10149
210,2893.6963888888863,0,True,8,10215
204,2896.7563888888862,0,True,8,10282
199,2901.510277777775,0,True,8,10014
195,2907.685277777775,1,True,8,9747
190,2912.224166666664,10,True,8,9564
186,2922.247499999997,20,True,8,9381
183,2925.602499999997,26,True,8,9381
181,2934.3508333333307,32,False,8,9381
180,2934.650833333331,32,False,8,9381
179,2942.308055555553,32,False,8,9381
179,2952.550833333331,47,False,8,9448
179,2956.2302777777754,62,False,8,9516
180,2961.530277777776,81,False,8,9698
